District Name,County,Affordability & Value Score,Performance Index Score 2023-2024,Median Home Value,MEDIAN OHIO ADJUSTED GROSS INCOME,Total Local Tax Burden,Total Students
Lexington Local,Richland,132.1267751053953,96.1,181795.0618527284,43850.5,3.2421450659345754,2266
Twin Valley Community Local,Preble,132.0833435195191,82.9,188176.642999148,40629.0,2.4879194919127388,741
Milford Exempted Village,Clermont,131.96485653777245,98.1,208607.6074467167,51847.5,3.1484011802675385,5933
Upper Arlington City,Franklin,131.50639973943763,102.3,455193.6405680906,85193.5,3.9168741086158274,6614
Perry Local,Lake,131.47579615331748,93.0,262645.65556473075,46159.0,2.7652355556913686,1469
Fredericktown Local,Knox,131.38281990252275,90.9,209772.63401588635,40273.5,2.621281542242717,1141
Upper Sandusky Exempted Village,Wyandot,131.31376900244544,91.1,170679.8505012753,39865.5,2.2751828447984312,1474
Joseph Badger Local,Trumbull,130.61440849314275,90.0,172020.6578301424,38244.0,2.7829343204544434,584
Monroe Local,Butler,130.21715542584673,94.6,179371.5930225729,52064.0,3.4503622075166893,2691
Eaton Community City,Preble,130.03549467969242,89.7,200976.8089628908,40262.0,2.253453787938736,1785
North Royalton City,Cuyahoga,130.0187839635209,99.8,237537.70533464168,51423.5,3.639008624536002,4034
Bath Local,Allen,129.9950186805598,99.2,183577.94220690042,43482.5,3.015599595851219,1583
Beachwood City,Cuyahoga,129.84467438542814,105.0,465804.9282891023,68991.5,3.6133754139096306,1483
Vanlue Local,Hancock,129.6296287132941,81.5,226005.7801353576,49454.5,2.546798672785678,144
